ISO 8859-1,,,,UTF-8,,,,,,,,,,,,,,,,,,
"Character
Number",Character,Hex,,"Unicode
code point",Character,"UTF-8
(hex)",Character Name,Block,,,,,,,,,,,,,,
85,U,0055,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,,,,,,
86,V,0056,,U+0056,V,56,LATIN CAPITAL LETTER V,,,,,,,,,,,,,,,
87,W,0057,,U+0057,W,57,LATIN CAPITAL LETTER W,,,,,,,,,,,,,,,
88,X,0058,,U+0058,X,58,LATIN CAPITAL LETTER X,,,,,,,,,,,,,,,
89,Y,0059,,U+0059,Y,59,LATIN CAPITAL LETTER Y,,,,,,,,,,,,,,,
90,Z,005A,,U+005A,Z,5a,LATIN CAPITAL LETTER Z,,,,,,,,,,,,,,,
91,[,005B,,U+005B,[,5b,LEFT SQUARE BRACKET,,,,,,,,,,,,,,,
92,\,005C,,U+005C,\,5c,REVERSE SOLIDUS,,,,,,,,,,,,,,,
93,],005D,,U+005D,],5d,RIGHT SQUARE BRACKET,,,,,,,,,,,,,,,
94,^,005E,,U+005E,^,5e,CIRCUMFLEX ACCENT,,,,,,,,,,,,,,,
95,_,005F,,U+005F,_,5f,LOW LINE,,,,,,,,,,,,,,,
96,`,0060,,U+0060,`,60,GRAVE ACCENT,,,,,,,,,,,,,,,
97,a,0061,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,,,,,,
98,b,0062,,U+0062,b,62,LATIN SMALL LETTER B,,,,,,,,,,,,,,,
99,c,0063,,U+0063,c,63,LATIN SMALL LETTER C,,,,,,,,,,,,,,,
100,d,0064,,U+0064,d,64,LATIN SMALL LETTER D,,,,,,,,,,,,,,,
101,e,0065,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,,,,,,
102,f,0066,,U+0066,f,66,LATIN SMALL LETTER F,,,,,,,,,,,,,,,
103,g,0067,,U+0067,g,67,LATIN SMALL LETTER G,,,,,,,,,,,,,,,
104,h,0068,,U+0068,h,68,LATIN SMALL LETTER H,,,,,,,,,,,,,,,
105,i,0069,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,,,,,,
106,j,006A,,U+006A,j,6a,LATIN SMALL LETTER J,,,,,,,,,,,,,,,
107,k,006B,,U+006B,k,6b,LATIN SMALL LETTER K,,,,,,,,,,,,,,,
108,l,006C,,U+006C,l,6c,LATIN SMALL LETTER L,,,,,,,,,,,,,,,
109,m,006D,,U+006D,m,6d,LATIN SMALL LETTER M,,,,,,,,,,,,,,,
110,n,006E,,U+006E,n,6e,LATIN SMALL LETTER N,,,,,,,,,,,,,,,
